Dex Number,Name,Generation,Status,Species,Stat Total,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Type,Ability,Hidden Ability,Image
1,Bulbasaur,1,Normal,Seed Pokémon,318,45,49,49,65,65,45,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Overgrow,Chlorophyll,![/assets/home_images/bulbasaur.png](/assets/home_images/bulbasaur.png)
2,Ivysaur,1,Normal,Seed Pokémon,405,60,62,63,80,80,60,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Overgrow,Chlorophyll,![/assets/home_images/ivysaur.png](/assets/home_images/ivysaur.png)
3,Venusaur,1,Normal,Seed Pokémon,525,80,82,83,100,100,80,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Overgrow,Chlorophyll,![/assets/home_images/venusaur.png](/assets/home_images/venusaur.png)
3,Mega Venusaur,1,Normal,Seed Pokémon,625,80,100,123,122,120,80,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Thick Fat,-,![/assets/home_images/venusaur-mega.png](/assets/home_images/venusaur-mega.png)
4,Charmander,1,Normal,Lizard Pokémon,309,39,52,43,60,50,65,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Blaze,Solar Power,![/assets/home_images/charmander.png](/assets/home_images/charmander.png)
5,Charmeleon,1,Normal,Flame Pokémon,405,58,64,58,80,65,80,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Blaze,Solar Power,![/assets/home_images/charmeleon.png](/assets/home_images/charmeleon.png)
6,Charizard,1,Normal,Flame Pokémon,534,78,84,78,109,85,100,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Blaze,Solar Power,![/assets/home_images/charizard.png](/assets/home_images/charizard.png)
6,Mega Charizard X,1,Normal,Flame Pokémon,634,78,130,111,130,85,100,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Tough Claws,-,![/assets/home_images/charizard-mega-x.png](/assets/home_images/charizard-mega-x.png)
6,Mega Charizard Y,1,Normal,Flame Pokémon,634,78,104,78,159,115,100,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Drought,-,![/assets/home_images/charizard-mega-y.png](/assets/home_images/charizard-mega-y.png)
7,Squirtle,1,Normal,Tiny Turtle Pokémon,314,44,48,65,50,64,43,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Rain Dish,![/assets/home_images/squirtle.png](/assets/home_images/squirtle.png)
8,Wartortle,1,Normal,Turtle Pokémon,405,59,63,80,65,80,58,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Rain Dish,![/assets/home_images/wartortle.png](/assets/home_images/wartortle.png)
9,Blastoise,1,Normal,Shellfish Pokémon,530,79,83,100,85,105,78,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Rain Dish,![/assets/home_images/blastoise.png](/assets/home_images/blastoise.png)
9,Mega Blastoise,1,Normal,Shellfish Pokémon,630,79,103,120,135,115,78,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Mega Launcher,-,![/assets/home_images/blastoise-mega.png](/assets/home_images/blastoise-mega.png)
10,Caterpie,1,Normal,Worm Pokémon,195,45,30,35,20,20,45,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg),Shield Dust,Run Away,![/assets/home_images/caterpie.png](/assets/home_images/caterpie.png)
11,Metapod,1,Normal,Cocoon Pokémon,205,50,20,55,25,25,30,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg),Shed Skin,-,![/assets/home_images/metapod.png](/assets/home_images/metapod.png)
12,Butterfree,1,Normal,Butterfly Pokémon,395,60,45,50,90,80,70,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Compound Eyes,Tinted Lens,![/assets/home_images/butterfree.png](/assets/home_images/butterfree.png)
13,Weedle,1,Normal,Hairy Bug Pokémon,195,40,35,30,20,20,50,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Shield Dust,Run Away,![/assets/home_images/weedle.png](/assets/home_images/weedle.png)
14,Kakuna,1,Normal,Cocoon Pokémon,205,45,25,50,25,25,35,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Shed Skin,-,![/assets/home_images/kakuna.png](/assets/home_images/kakuna.png)
